City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Pavlodar,KZ,2021-05-28 20:42:03,52.3,76.95,44.4,65,0,6.13
275,Najran,SA,2021-05-28 20:43:51,17.4924,44.1277,79.45,19,14,3.31
276,Saint-Paul,RE,2021-05-28 20:43:30,-21.0096,55.2707,69.91,72,0,3.06
277,Tingo Maria,PE,2021-05-28 20:43:52,-9.2895,-76.0088,83.39,58,19,2.55
278,Farmington,US,2021-05-28 20:43:52,36.7281,-108.2187,86.77,9,1,8.05
279,Riyadh,SA,2021-05-28 20:43:44,24.6877,46.7219,98.65,10,0,8.05
280,Margate,GB,2021-05-28 20:43:13,51.3813,1.3862,56.3,77,100,1.99
281,Stepnyak,KZ,2021-05-28 20:42:50,52.8339,70.7803,54.07,49,0,5.55
282,Kuching,MY,2021-05-28 20:41:05,1.55,110.3333,75.42,100,40,0.0
283,Del Rio,US,2021-05-28 20:43:54,29.3627,-100.8968,93.42,62,90,11.5
284,Masindi,UG,2021-05-28 20:43:54,1.6744,31.715,64.0,93,45,3.29
285,Cividale Del Friuli,IT,2021-05-28 20:40:00,46.0931,13.4275,62.58,81,20,4.16
286,Ocean City,US,2021-05-28 20:43:55,39.2776,-74.5746,62.62,81,100,4.0
287,Suez,EG,2021-05-28 20:43:56,29.9737,32.5263,71.62,69,0,7.52
288,Grindavik,IS,2021-05-28 20:43:56,63.8424,-22.4338,50.56,93,90,47.96
289,Karasjok,NO,2021-05-28 20:43:56,69.4719,25.5112,33.91,78,78,10.63
290,Coihaique,CL,2021-05-28 20:43:56,-45.5752,-72.0662,43.41,56,20,8.05
291,Tuktoyaktuk,CA,2021-05-28 20:43:57,69.4541,-133.0374,28.4,86,90,11.5
292,Shenjiamen,CN,2021-05-28 20:43:57,29.9576,122.298,67.32,70,100,6.4
293,Yar-Sale,RU,2021-05-28 20:43:57,66.8333,70.8333,37.26,53,100,7.23
294,Sabang,ID,2021-05-28 20:43:58,5.8933,95.3214,83.32,73,100,19.71
